sid,source
227,"#include<stdio.h>
int fun(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
		return 2;
	else 
		return fun(x-1)+fun(x-2);
}
int main()
{
	int n,i,a,sum=0,m;
	scanf(""%d"",&m);
	for(i=0;i<m;i++)
	{
	scanf(""%d"",&n);
	sum=fun(n);
	printf(""%d\n"",sum);
	}
	return 0;
}"
228,"#include<iostream>
using namespace std;
int fun(int i);
int main()
{
	int tot;
	while(cin>>tot)
	{
		cout<<fun(tot)<<endl;
	}
	return 0;

}
int fun(int i)
{
	if(i==1)
		return 1;
	else if(i==2)
		return 2;
	else
		return fun(i-1)+fun(i-2);
}
"
229,"#include<stdio.h>
int fun(int x){
	if(x==1) return 1;
	else if (x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main(){
	int n;
	while(scanf(""%d"",&n)!=EOF){
		printf(""%d\n"",fun(n));
	}
return 0;
}"
230,"#include<iostream>
using namespace std;
int f(int x)
{
if(x==1)return 1;
else if(x==2)return 2;
else return (f(x-1)+f(x-2));
}
int main()
{
	int n;
while(cin>>n)
cout<<f(n)<<endl;
return 0;
}
"
231,"#include<stdio.h>

int fun(int n)
{
	if(n==1)
		return 1;
	else if(n==2)
		return 2;
	else
		return fun(n-1)+fun(n-2);
}
int main()
{
	int n;
	while(scanf(""%d"",&n)!=EOF)
	{

	printf(""%d\n"",fun(n));
	}
	return 0;
}
"
232,"#include<stdio.h>
int fun(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
		return 2;
	else 
		return fun(x-1)+fun(x-2);
}
int main()
{
	int n,i,a,sum=0,m;
	while(scanf(""%d"",&n)!=EOF)
	{
	sum=fun(n);
	printf(""%d\n"",sum);
	}
	return 0;
}"
233,"#include<iostream>
using namespace std;
int main()
{
 unsigned int a,b,n,i;
 char c;
 cin>>n;
 for(i=1;i<=n;i++)
 {
	 cin>>a>>c>>b;
	 switch(c)
	 { case'+':cout<<a+b<<endl;break;
	 case'-':cout<<a-b<<endl;break;
	 case'*':cout<<a*b<<endl;break;
	 case'/':cout<<a/b<<endl;break;
 }}

	return 0;
}
"
234,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-2)+fun(x-1);
}
int main()
{
	int n;
	while(cin>>n)
	{
	n=fun(n);
	cout<<n<<endl;
	}
	return 0;
}"
235,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1)return 1;
	else if(x==2)return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
    int n;
    while(cin>>n)
    cout<<fun(n)<<endl;
	return 0;
}"
236,"#include<iostream>
using namespace std;
int main()
{
 unsigned int a,b,n,i;
 char c;
 cin>>n;
 for(i=1;i<=n;i++)
 {
	 cin>>a>>c>>b;
	 switch(c)
	 { case'+':cout<<a+b<<endl;break;
	 case'-':cout<<a-b<<endl;break;
	 case'*':cout<<a*b<<endl;break;
	 case'/':cout<<a/b<<endl;break;
 }}

	return 0;
}
"
237,"#include<stdio.h>
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n,sum;
	while(scanf(""%d"",&n)!=EOF)
	{
		sum=fun(n);
		printf(""%d\n"",sum);
	}
}"
238,"#include<stdio.h>

int fun(int n)
{
	if(n==1)
		return 1;
	else if(n==2)
		return 2;
	else
		return fun(n-1)+fun(n-2);
}
int main()
{
	int n;
	
scanf(""%d"",&n);
	printf(""%d\n"",fun(n));
	return 0;
}
"
239,"#include<stdio.h>
int fun(int x){
	if(x==1) return 1;
	else if (x==2) return 1;
	else return fun(x-1)+fun(x-2);
}
int main(){
	int n;
	while(scanf(""%d"",&n)!=EOF){
		printf(""%d\n"",fun(n));
	}
return 0;
}"
240,"#include<iostream>
using namespace std;

int fun(int n)
{
if(n==1)
return 1;
else if(n==2)
return 2;
else return fun(n-1)+fun(n-2);
}
int main(){
int n;
while(cin>>n)
cout<<fun(n)<<endl;
return 0;
}
"
241,"#include<iostream>
using namespace std;
int main()
{
  int a,b,n,i; 
 cin>>n;
 for(i=1;i<=n;i++)
 {
	 char c;
	 cin>>a>>c>>b;
	 switch(c)
	 { case'+':cout<<a+b<<endl;break;
	 case'-':cout<<a-b<<endl;break;
	 case'*':cout<<a*b<<endl;break;
	 case'/':cout<<a/b<<endl;break;
 }}

	return 0;
}
"
242,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	while(cin>>n)
		cout<<fun(n);
	return 0;
}"
243,"#include<iostream>
using namespace std;
int fun(int x){
	if(x==1)
		return 1;
	else
		if(x==2)
			return 2;
		else
			return fun(x-1)+fun(x-2);
}
int main(){
	int n;
	while(cin>>n){
		cout<<fun(n)<<endl;
	}
	return 0;
}"
244,"#include<stdio.h>
int fun(int n){
if(n==1)return 1;
else if(n==2)return 2;
else return fun(n-1)+fun(n-2);




}

int main(){
int n;
while(scanf(""%d"",&n)!=EOF){
  printf(""%d\n"",fun(n));





}
return 0;
}
"
245,"#include<stdio.h>
#include<iostream>
using namespace std;
int num=0;
 void fun(int n,int step)
 {
   if(n<0)
     return;
   if(n==0)
   {
	  num++;
     return;
    }
    fun(n-1,step+1);
    fun(n-2,step+1);
 }

int main()
 {
 	int n;
 	while(cin>>n)
   {
   	num=0;
   fun(n,0);
   cout<<num<<endl;
   }
   return 0;
 } "
246,"#include<iostream>
using namespace std;
int f(int x)
{
if(x==1||x==2)return 1;
else return (f(x-1)+f(x-2));
}
int main()
{
	int n;
while(cin>>n)
cout<<f(n)<<endl;
return 0;
}
"
247,"#include<stdio.h>
int fun(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
		return 2;
	else 
		return fun(x-1)+fun(x-2);
}
int main()
{
	int n,i,a,sum=0,m;
	scanf(""%d"",&n);
	sum=fun(n);
	printf(""%d\n"",sum);
	return 0;
}"
248,"#include<stdio.h>
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
    else return fun(x-1)+fun(x-2);
}
int main()
{
	int a,n=0;
	scanf(""%d"",&a);
	printf(""%d\n"",fun(a));
	return 0;
}
	

"
249,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	while(cin>>n)
		cout<<fun(n)<<endl;
	return 0;
}"
250,"# include<iostream>
using namespace std;;

int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else
	{
		return fun(x-1)+fun(x-2);
	}
}
int main()
{
	int n;
	cin>>n;
	cout<<fun(n)<<endl;
	return 0;
}"
251,"#include<stdio.h>
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
    else return fun(x-1)+fun(x-2);
}
int main()
{
	int a,n=0;
	while(scanf(""%d"",&a)!=EOF){
		printf(""%d\n"",fun(a));}
	return 0;
}
	

"
252,"#include<stdio.h>
int main()
{
	int fn,n,i;
	while(scanf(""%d"",&n)!=EOF)
	{
		fn=n;i=0;
		do{
		if(fn%2==0)
			fn=fn/2;
		else
			fn=(3*fn+1)/2;
		i++;
		}while(fn!=1);
	printf(""%d\n"",i);
	}
	return 0;
}"
253,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	cin>>n;
		cout<<fun(n)<<endl;
	return 0;
}"
254,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
		return 2;
	else
		return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	while(cin>>n)
	{
		cout<<fun(n)<<endl;
	}
	return 0;
}"
255,"# include<iostream>
using namespace std;;

int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else
	{
		return fun(x-1)+fun(x-2);
	}
}
int main()
{
	int n;
	cin>>n;
	cout<<fun(n)<<endl;
	return 0;
}"
256,"# include<iostream>
using namespace std;;

int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else
	{
		return fun(x-1)+fun(x-2);
	}
}
int main()
{
	int n;
	cin>>n;
	cout<<fun(n);
	return 0;
}"
257,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	while(cin>>n)
	{
		cout<<fun(n);
		cout<<""\n"";
	}
	return 0;
}"
258,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
	
}
int main()
{
	int n;
	while(cin>>n)
		cout<<fun(n)<<endl;
	return 0;


}"
259,"# include<iostream>
using namespace std;;

int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else
	{
		return fun(x-1)+fun(x-2);
	}
}
int main()
{
	int n;
	cin>>n;
	cout<<fun(n);
	return 0;
}"
260,"#include<iostream>  
using namespace std;  
int tot;  
bool occ[20];  
int res[20]={0};  
void dfs(int num);  
int main()  
{  
    cin>>tot;  
    dfs(1);  
}  
void dfs(int num)  
{  
    if(num==(tot+1))  
    {  
        int i;  
        for(i=1;i<=tot;i++)  
            cout<<res[i];  
        cout<<endl;  
    }  
    else
    {  
        int j;  
        for(j=1;j<=tot;j++)  
        {  
            if(!occ[j])  
            {  
                res[num]=j;  
                occ[j]=true;  
                dfs(num+1);  
                occ[j]=false;  
            }  
        }  
    }  
}  
"
261,"#include<iostream>  
using namespace std;  
int tot;  
bool occ[20];  
int res[20]={0};  
void dfs(int num);  
int main()  
{  
    cin>>tot;  
    dfs(1);  
}  
void dfs(int num)  
{  
    if(num==(tot+1))  
    {  
        int i;  
        for(i=1;i<=tot;i++)  
            cout<<res[i];  
        cout<<endl;  
    }  
    else
    {  
        int j;  
        for(j=1;j<=tot;j++)  
        {  
            if(!occ[j])  
            {  
                res[num]=j;  
                occ[j]=true;  
                dfs(num+1);  
                occ[j]=false;  
            }  
        }  
    }  
}  
"
262,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	while(cin>>n)
	{
		cout<<fun(n);
		cout<<""\n"";
	}
	return 0;
}"
263,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	while(cin>>n)
		cout<<fun(n)<<endl;
	return 0;
}"
264,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	while(cin>>n)
	{
		cout<<fun(n)<<endl;
	}
	return 0;
}"
265,"#include<stdio.h>
#include<string.h>
int main()
{
	char a[1001];
	int n,i,b,c;
	scanf(""%d"",&b);
	for(c=0;c<=b;c++)
	{
	gets(a);
	n=strlen(a);
	for(i=(n-1);i>=0;i--)
	printf(""%c"",a[i]);
	printf(""\n"");
	}
	return 0;
}"
266,"#include<iostream>
using namespace std;
int fun(int x)
{
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main()
{
	int n;
	while(cin>>n)
	{
		cout<<fun(n)<<endl;
	}
	return 0;
}"
267,"#include<iostream>

using namespace std;

int ab(int x,int y);

int main()

{

	int x,y,n,p;

	while(cin>>n)

	{

		x=0;p=0;

	   while(x<=n)

	   {

		  y=(n-x)/2;

		  if((x+2*y)==n)

			 p=p+ab(x,y);

		  x++;

	   }

	   cout<<p<<endl;

	}

	return 0;

}

int ab(int x,int y)

{

	int k=1,i,m,w=1;

	m=x+y;

	if(x==0||y==0)

		return 1;

	else if (x<=y)

	{

		for(i=1;i<=x;i++)

		{

			w=w*i;

			k=k*m;

		    m=m-1;

		}

		return k/w;

	}

	else

	{

		for(i=1;i<=y;i++)

		{

			w=w*i;

			k=k*m;

		    m=m-1;

		}

		return k/w;

	}

}

"
268,"#include<stdio.h>
int main()
{int m,n,a,b;
while(scanf(""%d %d"",&m,&n)!=EOF)
{
	for(a=0;a<=m;a++)
	{if((n-2*a)/4==m-a)
	break;
	}
	if(a>m)
	{a=-1;b=-1;}
	else
		b=m-a;
   printf(""%d %d\n"",a,b);
}
return 0;
}"
269,"#include<iostream> 
using namespace std; 
int fun(int x) 
{ 
    if(x==1) 
        return 1; 
    else if(x==2) 
        return 2; 
    else
        return fun(x-1)+fun(x-2); 
} 
int main() 
{ 
    int n; 
    while(cin>>n) 
    { 
        cout<<fun(n)<<endl; 
    } 
    return 0; 
}        
"
270,"#include<stdio.h>
int digui(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
		return 2;
	else return digui(x-1)+digui(x-2);
}
int main()
{
	int n;
	while(scanf(""%d"",&n)!=EOF)
	{
		int i=digui(n);
		printf(""%d\n"",i);
	}
	return 0;
}
"
271,"#include<iostream>
using namespace std;
int main()
{
	int i,j;
	int rows,cols;
	int length=0;
	int matrix[500][500]={0};
	cin>>rows>>cols;
	for(i=1;i<=rows;i++)
		for(j=1;j<=cols;j++)
		{
			cin>>matrix[i][j];
		}
	for(i=1;i<=rows;i++)
		for(j=1;j<=cols;j++)
		{
			if(matrix[i][j])
			{
				length++;
				if(length==(rows+cols-1))
				{
					cout<<'('<<i<<','<<j<<')'<<endl;
				}
				else
				    cout<<'('<<i<<','<<j<<')'<<'>';
			}
		}
}"
272,"#include<iostream>
using namespace std;
int main()
{
	int i,j;
	int rows,cols;
	int length=0;
	int matrix[500][500]={0};
	while(cin>>rows>>cols)
	{
		length=0;
	for(i=1;i<=rows;i++)
		for(j=1;j<=cols;j++)
		{
			cin>>matrix[i][j];
		}
	for(i=1;i<=rows;i++)
		for(j=1;j<=cols;j++)
		{
			if(matrix[i][j])
			{
				length++;
				if(length==(rows+cols-1))
				{
					cout<<'('<<i<<','<<j<<')'<<endl;
				}
				else
				    cout<<'('<<i<<','<<j<<')'<<'>';
			}
		}
	}
	return 0;
}"
273,"#include<stdio.h>
int fun(int x);
int main()
{
	int x;
	while(scanf(""%d"",&x)!=EOF)
	printf(""%d"",fun(x));	
}
int fun(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
	        return 2;
	else
		return fun(x-1)+fun(x-2);
}"
274,"#include<stdio.h>
int main()
{int m,n,a,b;
while(scanf(""%d %d"",&m,&n)!=EOF)
{
	for(a=0;a<=m;a++)
	{if((n-2*a)%4==0&&(n-2*a)/4==m-a)
	break;
	}
	if(a>m)
	{a=-1;b=-1;}
	else
		b=m-a;
   printf(""%d %d\n"",a,b);
}
return 0;
}"
275,"#include<stdio.h>
int fun(int x);
int main()
{
	int x;
	while(scanf(""%d"",&x)!=EOF){
		printf(""%d"",fun(x));	}
}
int fun(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
	        return 2;
	else
		return fun(x-1)+fun(x-2);
}"
276,"#include<iostream>  
using namespace std;  
int fun(int x)  
{  
    if(x==1)return 1;  
    else if(x==2)  
        return 2;  
    else return fun(x-1)+fun(x-2);  
}  
int main()  
{  
    int n;  
    cin>>n;  
    cout<<fun(n)<<endl;  
    return 0;  
}               "
277,"#include<stdio.h>
int fun(int x);
int main()
{
	int x;
	while(scanf(""%d"",&x)!=EOF){
		printf(""%d\n"",fun(x));	}
}
int fun(int x)
{
	if(x==1)
		return 1;
	else if(x==2)
	        return 2;
	else
		return fun(x-1)+fun(x-2);
}
"
278,"/*字典序 单词排序问题*/
#include<stdio.h>
#include<string.h>
int main()
{
	int n,i,j;
	char a[30][15];
	scanf(""%d"",&n);
	for(i=0;i<n;i++)
	{
		scanf(""%s"",a[i]);
	}
	char b[15];
	for(i=0;i<n-2;i++)
        for(j=i;j<n-1;j++)
	{
		if(strcmp(a[j],a[i])<0)
		{
		strcpy(b,a[i]);
		strcpy(a[i],a[j]);
		strcpy(a[j],b);
		}
	}
	for(i=0;i<n-1;i++)
	{
	  printf(""%s\n"",a[i]);
	}
	printf(""%s\n"",a[i]);
	return 0;
}
"
279,"#include<stdio.h> 
#include<stdlib.h> 
void bfunc(int n,int m)   
{         
int a[100],i,j,k,num;      
for(i=1;i<=n;i++)       
{  
a[i]=1;                    
}        
j = 0;         
k = 0;        
for(i=1;i<=n;i++)      
{             
if(a[i]==1)             
{                 
j = j + a[i];              
if(j == m)                
{                   
printf(""%d"",i);                   
j = 0;                  
a[i] = 0;                   
k++;                
}               
if(k == n) 
{                  
  num = i;                   
  break;                 
}  
}             
if(i==n)              
i = 0;       
}  
}   
int main()  
{   
int n,m;   
printf(""please input the total number:"");  
scanf(""%d"",&n);   
printf(""please input a digit:"");   
scanf(""%d"",&m);       
bfunc(n,m);  
system(""pause"");  
return 0; 
  
} "
280,"#include<stdio.h>
int fun(int x){
	if(x==1) return 1;
	else if(x==2) return 2;
	else return fun(x-1)+fun(x-2);
}
int main(){
	int n;
	while(scanf(""%d"",&n)!=EOF)
		printf(""%d\n"",fun(n));
	return 0;
}"
281,"#include<stdio.h>
int fun(int ,int );
int main()
{
	int n,i=1;
	scanf(""%d"",&n);
	do{
        int a,b,c,d;
		scanf(""%d %d %d"",&a,&b,&c);
		d=fun(fun(a,b),c);
		printf(""%d\n"",d);
		i++;
	}while(i<=n);
	return 0;
}
int fun(int x,int y)
{
	int r;
	do{
		r=x%y;
		x=y;
		y=r;
	}while(r!=0);
	return x;
}"
282,"#include<stdio.h> 
#include<stdlib.h> 
void bfunc(int n,int m)   
{         
int a[100],i,j,k,num;      
for(i=1;i<=n;i++)       
{  
a[i]=1;                    
}        
j = 0;         
k = 0;        
for(i=1;i<=n;i++)      
{             
if(a[i]==1)             
{                 
j = j + a[i];              
if(j == m)                
{                   
printf(""%d "",i);                   
j = 0;                  
a[i] = 0;                   
k++;                
}               
if(k == n) 
{                  
  num = i;                   
  break;                 
}  
}             
if(i==n)              
i = 0;       
}  
}   
int main()  
{   
int n,m;   
printf(""please input the total number:"");  
scanf(""%d"",&n);   
printf(""please input a digit:"");   
scanf(""%d"",&m);       
bfunc(n,m);  
system(""pause"");  
return 0; 
  
} "
283,"#include<iostream>
#include<cstdio>

#include<malloc.h>

using namespace std;

typedef struct Table
{
	int number;
	Table *next;
}Table;

int main()
{
	int n,m,i,k;
	cin>>n>>m;
	Table *cur,*p,*head=(Table *)malloc(sizeof(Table));
	head->number=1;
	p=head;
	for(i=2;i<=n;i++)
	{
		cur=(Table *)malloc(sizeof(Table));
		cur->number=i;
		p->next=cur;
		p=cur;
	}
	p->next=head;
	
	
	p=head;
	cur=head;
	i=0;k=0;
	while(i<n)
	{
			k++;
			if(k==5)
			{
				if(i<n-1)
					cout<<cur->number<<"" "";
				else
					cout<<cur->number<<endl;
				k=0;i++;
				p->next=cur->next;
				cur=cur->next;
			
			
			}
			else
			{
				p=cur;
				cur=cur->next;
			}
	}

	
	return 0;
}
"
284,"#include<iostream>
#include<cstdio>

#include<malloc.h>

using namespace std;

typedef struct Table
{
	int number;
	Table *next;
}Table;

int main()
{
	int n,m,i,k;
	cin>>n>>m;
	Table *cur,*p,*head=(Table *)malloc(sizeof(Table));
	head->number=1;
	p=head;
	for(i=2;i<=n;i++)
	{
		cur=(Table *)malloc(sizeof(Table));
		cur->number=i;
		p->next=cur;
		p=cur;
	}
	p->next=head;
	
	
	p=head;
	cur=head;
	i=0;k=0;
	while(i<n)
	{
			k++;
			if(k==5)
			{
				
					cout<<cur->number<<"" "";

				k=0;i++;
				p->next=cur->next;
				cur=cur->next;
			
			
			}
			else
			{
				p=cur;
				cur=cur->next;
			}
	}

	
	return 0;
}
"
285,"#include<stdio.h> 
#include<stdlib.h> 
void bfunc(int n,int m)   
{         
int a[100],i,j,k,num;      
for(i=1;i<=n;i++)       
{  
a[i]=1;                    
}        
j = 0;         
k = 0;        
for(i=1;i<=n;i++)      
{             
if(a[i]==1)             
{                 
j = j + a[i];              
if(j == m)                
{                   
printf(""%d "",i);                   
j = 0;                  
a[i] = 0;                   
k++;                
}               
if(k == n) 
{                  
  num = i;                   
  break;                 
}  
}             
if(i==n)              
i = 0;       
}  
}   
int main()  
{   
int n,m;   
scanf(""%d%d"",&n,&m);         
bfunc(n,m);  
return 0; 
} "
286,"#include<iostream>
#include<cstdio>

#include<malloc.h>

using namespace std;

typedef struct Table
{
	int number;
	Table *next;
}Table;

int main()
{
	int n,m,i,k;
	cin>>n>>m;
	Table *cur,*p,*head=(Table *)malloc(sizeof(Table));
	head->number=1;
	p=head;
	for(i=2;i<=n;i++)
	{
		cur=(Table *)malloc(sizeof(Table));
		cur->number=i;
		p->next=cur;
		p=cur;
	}
	p->next=head;
	
	
	p=head;
	cur=head;
	i=0;k=0;
	while(i<n)
	{
			k++;
			if(k==m)
			{
				if(i<n-1)
					cout<<cur->number<<"" "";
				else
					cout<<cur->number<<endl;
				k=0;i++;
				p->next=cur->next;
				cur=cur->next;
			
			
			}
			else
			{
				p=cur;
				cur=cur->next;
			}
	}

	
	return 0;
}
"
287,"#include<iostream>
#include<cstdio>

#include<malloc.h>

using namespace std;

typedef struct Table
{
	int number;
	Table *next;
}Table;

int main()
{
	int n,m,i,k;
	cin>>n>>m;
	Table *cur,*p,*head=(Table *)malloc(sizeof(Table));
	head->number=1;
	p=head;
	for(i=2;i<=n;i++)
	{
		cur=(Table *)malloc(sizeof(Table));
		cur->number=i;
		p->next=cur;
		p=cur;
	}
	p->next=head;
	
	
	p=head;
	cur=head;
	i=0;k=0;
	while(i<n)
	{
			k++;
			if(k==m)
			{
				
					cout<<cur->number<<"" "";
				
				k=0;i++;
				p->next=cur->next;
				cur=cur->next;
			
			
			}
			else
			{
				p=cur;
				cur=cur->next;
			}
	}

	
	return 0;
}
"
288,"#include<stdio.h>
int main()
{
	int n,i=0;
	scanf(""%d"",&n);
	do{
		int a;
		scanf(""%d"",&a);
		printf(""%o\n"",a);
		i++;
	}while(i<n);
	return 0;
}
		"
289,"#include<iostream>
#include<malloc.h>
using namespace std;
struct node
{
	int data;
	struct node *next;	
};
int main()
{
	struct node *head,*p,*q;
	int n,m,i,left;
	cin>>n>>m;
	head=(struct node *)malloc(sizeof(struct node));
	head->data=1;
	head->next=head;
	q=head;
	for(i=2;i<=n;i++)
	{
		p=(struct node *)malloc(sizeof(struct node));
		p->data=i;
		q->next=p;
		p->next=head;
		q=p;
	}
q=head;
	left=n;
	do
	{
		i=1;
		while(i<m)
		{
			p=q;
			i++;
			q=q->next;
		}
		cout<<q->data<<"" "";
		left--;
		p->next=q->next;
		free(q);
		q=p->next;
	}while(left!=0);
	return 0;
}
"
290,"#include<iostream>
#include<cstdio>
#include<malloc.h>
using namespace std;
typedef struct Table
{
	int number;
	Table *next;
}Table;

int main()
{
	int n,m,i,k;
	while(scanf(""%d%d"",&n,&m)!=EOF)

{	Table *cur,*p,*head=(Table *)malloc(sizeof(Table));
	head->number=1;
	p=head;
	for(i=2;i<=n;i++)
	{
		cur=(Table *)malloc(sizeof(Table));
		cur->number=i;
		p->next=cur;
		p=cur;
	}
	p->next=head;
	
		
	p=head;
	cur=head;
	i=0;k=0;
	while(i<n)
	{
			k++;
			if(k==m)
			{
				if(i<n-1)
					cout<<cur->number<<"" "";
				else
					cout<<cur->number<<endl;
				k=0;i++;
				p->next=cur->next;
				cur=cur->next;
			}
			else
			{
				p=cur;
				cur=cur->next;
			}
	}
}
	return 0;
}
"
291,"#include<stdio.h>
#include<string.h>
#include<stdlib.h>
char a[100][30];
int MyCompare( const void * e1, const void * e2 )
{
	return strcmp( (char * ) e1, (char * ) e2 );
}
int main()
{
int n,i=0,j,k;
scanf(""%d"",&n);
while(scanf(""%s"",&a[i])&&(n-1)!=i)
i++;
qsort(a,n,sizeof(a[0]),MyCompare);
	for( j = 0; j<n;j++ )
	{	if(!strcmp(""china"",a[j])){k=j;j++;}
	printf(""%s\n"",a[j]);}
	printf(""%s\n"",a[k]);
	return 0;
}
"
292,"#include<stdio.h>

int fun(int x)
{
	if(x==1)return 1;
	else if(x==2)return 2;
	else return fun(x-1)+fun(x-2);
}

int main()
{
	int n;
	while(scanf(""%d"",&n)!=EOF)
	{
		printf(""%d\n"",fun(n));
	}

	
	return 0;
}
"
293,"#include<stdio.h>
int fun(int x)
{
	if(x==1)return 1;
	else if(x==2)return 2;
	return fun(x-1)+fun(x-2);
}
int main()
{
 int n;
 while(scanf(""%d"",&n)!=EOF)
 {
	 printf(""%d\n"",fun(n));
 } 
 return 0;
}"
294,"#include<stdio.h>
#include<string.h>
#include<stdlib.h>
char a[100][30];
int MyCompare( const void * e1, const void * e2 )
{
	return strcmp( (char * ) e1, (char * ) e2 );
}
int main()
{
int n,i=0,j,k;
scanf(""%d"",&n);
while(scanf(""%s"",&a[i])&&(n-1)!=i)
i++;
qsort(a,n,sizeof(a[0]),MyCompare);
	for( j = 0; j<n;j++ )
	{	if(!strcmp(""China"",a[j])){k=j;j++;}
	printf(""%s\n"",a[j]);}
	printf(""%s\n"",a[k]);
	return 0;
}
"
295,"import java.util.*;
public class Main {

	/**
	 * @param args
	 */
	public static void main(String[] args) {
		// TODO Auto-generated method stub
		Scanner sc = new Scanner(System.in);
		int n=sc.nextInt();
		for(int j=1;j<=n;j++)
		{
			Scanner ss = new Scanner(System.in);
		    String s=ss.nextLine();
		    char ch[]=s.toCharArray();
		    for(int i=1;i<=ch.length;i++)
		    {
		    	System.out.print(ch[ch.length-i]);
		    }
	    	System.out.println();
		    
		}
		
	}
}"
296,"import java.util.*;
public class Main {

	/**
	 * @param args
	 */
	public static void main(String[] args) {
		// TODO Auto-generated method stub
		Scanner sc = new Scanner(System.in);
		int n=sc.nextInt();
		for(int j=1;j<=n;j++)
		{
			Scanner ss = new Scanner(System.in);
		    String s=ss.nextLine();
		    char ch[]=s.toCharArray();
		    for(int i=1;i<=ch.length;i++)
		    {
		    	System.out.print(ch[ch.length-i]);
		    }
	    	System.out.println();
		    
		}
		
	}
}"
297,"#include<stdio.h>
#include<stdlib.h>
int aLoop[200];
int main()
{
	int n,m,i,sum;
	while(1)
	{
		sum=0;
		scanf(""%d%d"",&n,&m);
		for(i=0;i<n;i++)
		aLoop[i]=i+1;
		int nPtr=0;	
		for(i=0;i<n;i++)
		{
			int count=0;
			while(count<m)
			{
				while(aLoop[nPtr]==0)
				{
					nPtr=(nPtr+1)%n;
				}
				count++;
				nPtr=(nPtr+1)%n;
			}
			nPtr--;
			if(nPtr<0)
			nPtr=n-1;
			sum++;
			if(sum<n)
			printf(""%d "",aLoop[nPtr]);
			else
			printf(""%d\n"",aLoop[nPtr]);
			aLoop[nPtr]=0;
			
		}	
	}
	return 0;
}"
298,"#include<stdio.h>
#include<stdlib.h>
int aLoop[200];
int main()
{
	int n,m,i,sum;
	while(1)
	{
		sum=0;
		scanf(""%d%d"",&n,&m);
		for(i=0;i<n;i++)
		aLoop[i]=i+1;
		int nPtr=0;	
		for(i=0;i<n;i++)
		{
			int count=0;
			while(count<m)
			{
				while(aLoop[nPtr]==0)
				{
					nPtr=(nPtr+1)%n;
				}
				count++;
				nPtr=(nPtr+1)%n;
			}
			nPtr--;
			if(nPtr<0)
			nPtr=n-1;
			sum++;
			if(sum<n)
			printf(""%d "",aLoop[nPtr]);
			else
			printf(""%d\n"",aLoop[nPtr]);
			aLoop[nPtr]=0;
			
		}	
	}
	return 0;
}"
